level,wilayah,variabel,tahun,forecast,lower,upper,resid_std_insample
kabkota,Kabupaten Sidoarjo,TPT,2026,5.71,1.85,9.57,1.97
kabkota,Kabupaten Sidoarjo,TPT,2027,5.68,0.22,11.14,1.97
kabkota,Kabupaten Sidoarjo,TPT,2028,5.66,0.0,12.34,1.97
kabkota,Kabupaten Situbondo,TPT,2026,3.04,1.49,4.59,0.79
kabkota,Kabupaten Situbondo,TPT,2027,3.04,0.85,5.23,0.79
kabkota,Kabupaten Situbondo,TPT,2028,3.04,0.35,5.72,0.79
kabkota,Kabupaten Sumenep,TPT,2026,1.71,0.59,2.84,0.575
kabkota,Kabupaten Sumenep,TPT,2027,1.71,0.12,3.3,0.575
kabkota,Kabupaten Sumenep,TPT,2028,1.71,0.0,3.66,0.575
kabkota,Kabupaten Trenggalek,TPT,2026,4.27,2.95,5.58,0.669
kabkota,Kabupaten Trenggalek,TPT,2027,4.33,2.47,6.18,0.669
kabkota,Kabupaten Trenggalek,TPT,2028,4.39,2.12,6.66,0.669
kabkota,Kabupaten Tuban,TPT,2026,3.42,1.92,4.92,0.766
kabkota,Kabupaten Tuban,TPT,2027,3.41,1.29,5.53,0.766
kabkota,Kabupaten Tuban,TPT,2028,3.4,0.8,6.0,0.766
kabkota,Kabupaten Tulungagung,TPT,2026,4.03,2.23,5.83,0.919
kabkota,Kabupaten Tulungagung,TPT,2027,4.02,1.48,6.57,0.919
kabkota,Kabupaten Tulungagung,TPT,2028,4.02,0.9,7.14,0.919
kabkota,Kota Batu,TPT,2026,3.5,0.45,6.56,1.56
kabkota,Kota Batu,TPT,2027,3.48,0.0,7.8,1.56
kabkota,Kota Batu,TPT,2028,3.45,0.0,8.75,1.56
kabkota,Kota Blitar,TPT,2026,4.67,2.42,6.92,1.148
kabkota,Kota Blitar,TPT,2027,4.66,1.48,7.85,1.148
kabkota,Kota Blitar,TPT,2028,4.66,0.76,8.55,1.148
kabkota,Kota Kediri,TPT,2026,3.59,1.36,5.81,1.134
kabkota,Kota Kediri,TPT,2027,3.39,0.25,6.53,1.134
kabkota,Kota Kediri,TPT,2028,3.21,0.0,7.06,1.134
kabkota,Kota Madiun,TPT,2026,4.34,1.33,7.36,1.539
kabkota,Kota Madiun,TPT,2027,4.31,0.04,8.57,1.539
kabkota,Kota Madiun,TPT,2028,4.28,0.0,9.5,1.539
kabkota,Kota Malang,TPT,2026,6.9,4.76,9.05,1.095
kabkota,Kota Malang,TPT,2027,6.89,3.85,9.92,1.095
kabkota,Kota Malang,TPT,2028,6.87,3.16,10.59,1.095
kabkota,Kota Mojokerto,TPT,2026,4.0,1.06,6.94,1.5
kabkota,Kota Mojokerto,TPT,2027,3.97,0.0,8.13,1.5
kabkota,Kota Mojokerto,TPT,2028,3.95,0.0,9.04,1.5
kabkota,Kota Pasuruan,TPT,2026,4.55,2.93,6.17,0.826
kabkota,Kota Pasuruan,TPT,2027,4.52,2.23,6.81,0.826
kabkota,Kota Pasuruan,TPT,2028,4.5,1.7,7.3,0.826
kabkota,Kota Probolinggo,TPT,2026,4.9,3.13,6.67,0.902
kabkota,Kota Probolinggo,TPT,2027,4.87,2.37,7.37,0.902
kabkota,Kota Probolinggo,TPT,2028,4.85,1.79,7.91,0.902
kabkota,Kota Surabaya,TPT,2026,4.8,1.83,7.77,1.514
kabkota,Kota Surabaya,TPT,2027,4.77,0.57,8.96,1.514
kabkota,Kota Surabaya,TPT,2028,4.74,0.0,9.88,1.514
provinsi,Jawa Timur (rata-rata 38 kab/kota),TPT,2026,3.83,2.47,5.2,0.696
provinsi,Jawa Timur (rata-rata 38 kab/kota),TPT,2027,3.82,1.89,5.75,0.696
provinsi,Jawa Timur (rata-rata 38 kab/kota),TPT,2028,3.81,1.45,6.17,0.696
kabkota,Kabupaten Bangkalan,TPAK,2026,69.51,65.33,73.69,2.132
kabkota,Kabupaten Bangkalan,TPAK,2027,69.52,63.61,75.43,2.132
kabkota,Kabupaten Bangkalan,TPAK,2028,69.53,62.29,76.76,2.132
kabkota,Kabupaten Banyuwangi,TPAK,2026,75.08,70.78,79.37,2.192
kabkota,Kabupaten Banyuwangi,TPAK,2027,75.37,69.29,81.44,2.192
kabkota,Kabupaten Banyuwangi,TPAK,2028,75.66,68.22,83.1,2.192
kabkota,Kabupaten Blitar,TPAK,2026,73.41,70.15,76.66,1.662
kabkota,Kabupaten Blitar,TPAK,2027,73.65,69.04,78.25,1.662
kabkota,Kabupaten Blitar,TPAK,2028,73.88,68.24,79.52,1.662
kabkota,Kabupaten Bojonegoro,TPAK,2026,76.42,71.35,81.49,2.588
kabkota,Kabupaten Bojonegoro,TPAK,2027,77.34,70.16,84.51,2.588
kabkota,Kabupaten Bojonegoro,TPAK,2028,78.25,69.46,87.03,2.588
kabkota,Kabupaten Bondowoso,TPAK,2026,76.58,73.55,79.62,1.548
kabkota,Kabupaten Bondowoso,TPAK,2027,77.01,72.72,81.3,1.548
kabkota,Kabupaten Bondowoso,TPAK,2028,77.44,72.19,82.7,1.548
kabkota,Kabupaten Gresik,TPAK,2026,69.6,66.32,72.87,1.672
kabkota,Kabupaten Gresik,TPAK,2027,69.88,65.24,74.51,1.672
kabkota,Kabupaten Gresik,TPAK,2028,70.16,64.48,75.84,1.672
kabkota,Kabupaten Jember,TPAK,2026,76.58,73.37,79.79,1.637
kabkota,Kabupaten Jember,TPAK,2027,77.5,72.96,82.04,1.637
kabkota,Kabupaten Jember,TPAK,2028,78.28,72.72,83.84,1.637
kabkota,Kabupaten Jombang,TPAK,2026,72.51,68.52,76.49,2.033
kabkota,Kabupaten Jombang,TPAK,2027,72.7,67.07,78.33,2.033
kabkota,Kabupaten Jombang,TPAK,2028,72.89,65.99,79.79,2.033
kabkota,Kabupaten Kediri,TPAK,2026,69.97,67.61,72.34,1.206
kabkota,Kabupaten Kediri,TPAK,2027,69.99,66.65,73.33,1.206
kabkota,Kabupaten Kediri,TPAK,2028,70.01,65.91,74.1,1.206
kabkota,Kabupaten Lamongan,TPAK,2026,75.37,71.42,79.33,2.018
kabkota,Kabupaten Lamongan,TPAK,2027,76.35,70.75,81.94,2.018
kabkota,Kabupaten Lamongan,TPAK,2028,77.31,70.46,84.16,2.018
kabkota,Kabupaten Lumajang,TPAK,2026,69.41,66.3,72.52,1.585
kabkota,Kabupaten Lumajang,TPAK,2027,69.71,65.31,74.1,1.585
kabkota,Kabupaten Lumajang,TPAK,2028,70.0,64.62,75.38,1.585
kabkota,Kabupaten Madiun,TPAK,2026,73.52,69.43,77.6,2.085
kabkota,Kabupaten Madiun,TPAK,2027,73.51,67.73,79.29,2.085
kabkota,Kabupaten Madiun,TPAK,2028,73.51,66.43,80.59,2.085
kabkota,Kabupaten Magetan,TPAK,2026,75.1,69.28,80.92,2.971
kabkota,Kabupaten Magetan,TPAK,2027,75.16,66.92,83.39,2.971
kabkota,Kabupaten Magetan,TPAK,2028,75.21,65.13,85.3,2.971
kabkota,Kabupaten Malang,TPAK,2026,73.53,69.98,77.07,1.808
kabkota,Kabupaten Malang,TPAK,2027,73.59,68.58,78.6,1.808
kabkota,Kabupaten Malang,TPAK,2028,73.63,67.5,79.77,1.808
kabkota,Kabupaten Mojokerto,TPAK,2026,72.83,69.53,76.12,1.681
kabkota,Kabupaten Mojokerto,TPAK,2027,73.05,68.39,77.71,1.681
kabkota,Kabupaten Mojokerto,TPAK,2028,73.27,67.57,78.98,1.681
kabkota,Kabupaten Nganjuk,TPAK,2026,73.17,68.33,78.02,2.473
kabkota,Kabupaten Nganjuk,TPAK,2027,73.17,66.31,80.02,2.473
kabkota,Kabupaten Nganjuk,TPAK,2028,73.16,64.76,81.56,2.473
kabkota,Kabupaten Ngawi,TPAK,2026,74.64,67.24,82.04,3.773
kabkota,Kabupaten Ngawi,TPAK,2027,74.86,64.4,85.32,3.773
kabkota,Kabupaten Ngawi,TPAK,2028,75.04,62.23,87.85,3.773
kabkota,Kabupaten Pacitan,TPAK,2026,83.15,79.91,86.4,1.656
kabkota,Kabupaten Pacitan,TPAK,2027,83.35,78.76,87.94,1.656
kabkota,Kabupaten Pacitan,TPAK,2028,83.5,77.88,89.12,1.656
kabkota,Kabupaten Pamekasan,TPAK,2026,79.83,74.25,85.41,2.847
kabkota,Kabupaten Pamekasan,TPAK,2027,79.82,71.93,87.71,2.847
kabkota,Kabupaten Pamekasan,TPAK,2028,79.81,70.14,89.47,2.847
